Nom,National №,Type,Species,Height,Weight,Abilities,Local №,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate,Egg Groups,Gender,Egg cycles,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Image
Vulpix,0037,Fire,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),1. | Flash Fire | Drought | (hidden ability),0037 | (Yellow/Red/Blue) | 0125 | (Gold/Silver/Crystal) | 0153 | (Ruby/Sapphire/Emerald) | 0037 | (FireRed/LeafGreen) | 0127 | (HeartGold/SoulSilver) | 0248 | (Black 2/White 2) | 0160 | (Omega Ruby/Alpha Sapphire) | 0253 | (Sun/Moon — Alola dex) | 0330 | (U.Sun/U.Moon — Alola dex) | 0037 | (Let's Go Pikachu/Let's Go Eevee) | 0068 | (Sword/Shield) | 0168 | (Legends: Arceus) | 0037 | (The Teal Mask) | 0157 | (The Indigo Disk),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"25% male, 75% female","20				(4,884–5,140 steps)",38,41,40,50,65,65,299,https://img.pokemondb.net/artwork/large/vulpix.jpg
Ninetales,0038,Fire,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),1. | Flash Fire | Drought | (hidden ability),0038 | (Yellow/Red/Blue) | 0126 | (Gold/Silver/Crystal) | 0154 | (Ruby/Sapphire/Emerald) | 0038 | (FireRed/LeafGreen) | 0128 | (HeartGold/SoulSilver) | 0249 | (Black 2/White 2) | 0161 | (Omega Ruby/Alpha Sapphire) | 0254 | (Sun/Moon — Alola dex) | 0331 | (U.Sun/U.Moon — Alola dex) | 0038 | (Let's Go Pikachu/Let's Go Eevee) | 0069 | (Sword/Shield) | 0169 | (Legends: Arceus) | 0038 | (The Teal Mask) | 0158 | (The Indigo Disk),"1 Sp. Def, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"25% male, 75% female","20				(4,884–5,140 steps)",73,76,75,81,100,100,505,https://img.pokemondb.net/artwork/large/ninetales.jpg
Jigglypuff,0039,Normal | Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. | Cute Charm | 2. | Competitive | Friend Guard | (hidden ability),0039 | (Red/Blue/Yellow) | 0044 | (Gold/Silver/Crystal) | 0138 | (Ruby/Sapphire/Emerald) | 0039 | (FireRed/LeafGreen) | 0044 | (HeartGold/SoulSilver) | 0282 | (Black 2/White 2) | 0120 | (X/Y — Mountain Kalos) | 0143 | (Omega Ruby/Alpha Sapphire) | 0135 | (Sun/Moon — Alola dex) | 0168 | (U.Sun/U.Moon — Alola dex) | 0039 | (Let's Go Pikachu/Let's Go Eevee) | 0060 | (Scarlet/Violet) | 0012 | (The Isle of Armor),2 HP,"170 (22.2% with PokéBall, full HP)",50 (normal),95,Fast,Fairy,"25% male, 75% female","10				(2,314–2,570 steps)",115,45,20,45,25,20,270,https://img.pokemondb.net/artwork/large/jigglypuff.jpg
Wigglytuff,0040,Normal | Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),1. | Cute Charm | 2. | Competitive | Frisk | (hidden ability),0040 | (Red/Blue/Yellow) | 0045 | (Gold/Silver/Crystal) | 0139 | (Ruby/Sapphire/Emerald) | 0040 | (FireRed/LeafGreen) | 0045 | (HeartGold/SoulSilver) | 0283 | (Black 2/White 2) | 0121 | (X/Y — Mountain Kalos) | 0144 | (Omega Ruby/Alpha Sapphire) | 0136 | (Sun/Moon — Alola dex) | 0169 | (U.Sun/U.Moon — Alola dex) | 0040 | (Let's Go Pikachu/Let's Go Eevee) | 0061 | (Scarlet/Violet) | 0013 | (The Isle of Armor),3 HP,"50 (6.5% with PokéBall, full HP)",50 (normal),218,Fast,Fairy,"25% male, 75% female","10				(2,314–2,570 steps)",140,70,45,85,50,45,435,https://img.pokemondb.net/artwork/large/wigglytuff.jpg
Zubat,0041,Poison | Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),1. | Inner Focus | Infiltrator | (hidden ability),0041 | (Yellow/Red/Blue) | 0037 | (Gold/Silver/Crystal) | 0063 | (Ruby/Sapphire/Emerald) | 0041 | (FireRed/LeafGreen) | 0028 | (Diamond/Pearl) | 0028 | (Platinum) | 0037 | (HeartGold/SoulSilver) | 0061 | (Black 2/White 2) | 0145 | (X/Y — Central Kalos) | 0065 | (Omega Ruby/Alpha Sapphire) | 0068 | (Sun/Moon — Alola dex) | 0080 | (U.Sun/U.Moon — Alola dex) | 0041 | (Let's Go Pikachu/Let's Go Eevee) | 0028 | (Brilliant Diamond/Shining Pearl) | 0034 | (Legends: Arceus) | 0144 | (The Crown Tundra),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Medium Fast,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",40,45,35,30,40,55,245,https://img.pokemondb.net/artwork/large/zubat.jpg
Golbat,0042,Poison | Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),1. | Inner Focus | Infiltrator | (hidden ability),0042 | (Yellow/Red/Blue) | 0038 | (Gold/Silver/Crystal) | 0064 | (Ruby/Sapphire/Emerald) | 0042 | (FireRed/LeafGreen) | 0029 | (Diamond/Pearl) | 0029 | (Platinum) | 0038 | (HeartGold/SoulSilver) | 0062 | (Black 2/White 2) | 0146 | (X/Y — Central Kalos) | 0066 | (Omega Ruby/Alpha Sapphire) | 0069 | (Sun/Moon — Alola dex) | 0081 | (U.Sun/U.Moon — Alola dex) | 0042 | (Let's Go Pikachu/Let's Go Eevee) | 0029 | (Brilliant Diamond/Shining Pearl) | 0035 | (Legends: Arceus) | 0145 | (The Crown Tundra),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",75,80,70,65,75,90,455,https://img.pokemondb.net/artwork/large/golbat.jpg
Oddish,0043,Grass | Poison,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),1. | Chlorophyll | Run Away | (hidden ability),0043 | (Red/Blue/Yellow) | 0083 | (Gold/Silver/Crystal) | 0088 | (Ruby/Sapphire/Emerald) | 0043 | (FireRed/LeafGreen) | 0083 | (HeartGold/SoulSilver) | 0105 | (X/Y — Central Kalos) | 0091 | (Omega Ruby/Alpha Sapphire) | 0043 | (Let's Go Pikachu/Let's Go Eevee) | 0055 | (Sword/Shield) | 0062 | (The Indigo Disk),1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),64,Medium Slow,Grass,"50% male, 50% female","20				(4,884–5,140 steps)",45,50,55,75,65,30,320,https://img.pokemondb.net/artwork/large/oddish.jpg
Gloom,0044,Grass | Poison,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),1. | Chlorophyll | Stench | (hidden ability),0044 | (Red/Blue/Yellow) | 0084 | (Gold/Silver/Crystal) | 0089 | (Ruby/Sapphire/Emerald) | 0044 | (FireRed/LeafGreen) | 0084 | (HeartGold/SoulSilver) | 0106 | (X/Y — Central Kalos) | 0092 | (Omega Ruby/Alpha Sapphire) | 0044 | (Let's Go Pikachu/Let's Go Eevee) | 0056 | (Sword/Shield) | 0063 | (The Indigo Disk),2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),138,Medium Slow,Grass,"50% male, 50% female","20				(4,884–5,140 steps)",60,65,70,85,75,40,395,https://img.pokemondb.net/artwork/large/gloom.jpg
Vileplume,0045,Grass | Poison,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),1. | Chlorophyll | Effect Spore | (hidden ability),0045 | (Red/Blue/Yellow) | 0085 | (Gold/Silver/Crystal) | 0090 | (Ruby/Sapphire/Emerald) | 0045 | (FireRed/LeafGreen) | 0085 | (HeartGold/SoulSilver) | 0107 | (X/Y — Central Kalos) | 0093 | (Omega Ruby/Alpha Sapphire) | 0045 | (Let's Go Pikachu/Let's Go Eevee) | 0057 | (Sword/Shield) | 0064 | (The Indigo Disk),3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,Grass,"50% male, 50% female","20				(4,884–5,140 steps)",75,80,85,110,90,50,490,https://img.pokemondb.net/artwork/large/vileplume.jpg
Paras,0046,Bug | Grass,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs),1. | Effect Spore | 2. | Dry Skin | Damp | (hidden ability),0046 | (Red/Blue/Yellow) | 0070 | (Gold/Silver/Crystal) | 0046 | (FireRed/LeafGreen) | 0070 | (HeartGold/SoulSilver) | 0147 | (Sun/Moon — Alola dex) | 0180 | (U.Sun/U.Moon — Alola dex) | 0046 | (Let's Go Pikachu/Let's Go Eevee) | 0053 | (Legends: Arceus),1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),57,Medium Fast,"Bug, Grass","50% male, 50% female","20				(4,884–5,140 steps)",35,70,55,45,55,25,285,https://img.pokemondb.net/artwork/large/paras.jpg
Parasect,0047,Bug | Grass,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. | Effect Spore | 2. | Dry Skin | Damp | (hidden ability),0047 | (Red/Blue/Yellow) | 0071 | (Gold/Silver/Crystal) | 0047 | (FireRed/LeafGreen) | 0071 | (HeartGold/SoulSilver) | 0148 | (Sun/Moon — Alola dex) | 0181 | (U.Sun/U.Moon — Alola dex) | 0047 | (Let's Go Pikachu/Let's Go Eevee) | 0054 | (Legends: Arceus),"2 Attack, 1 Defense","75 (9.8% with PokéBall, full HP)",50 (normal),142,Medium Fast,"Bug, Grass","50% male, 50% female","20				(4,884–5,140 steps)",60,95,80,60,80,30,405,https://img.pokemondb.net/artwork/large/parasect.jpg
Venonat,0048,Bug | Poison,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),1. | Compound Eyes | 2. | Tinted Lens | Run Away | (hidden ability),0048 | (Red/Blue/Yellow) | 0108 | (Gold/Silver/Crystal) | 0048 | (FireRed/LeafGreen) | 0109 | (HeartGold/SoulSilver) | 0048 | (Let's Go Pikachu/Let's Go Eevee) | 0256 | (Scarlet/Violet) | 0008 | (The Indigo Disk),1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,Bug,"50% male, 50% female","20				(4,884–5,140 steps)",60,55,50,40,55,45,305,https://img.pokemondb.net/artwork/large/venonat.jpg
Venomoth,0049,Bug | Poison,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs),1. | Shield Dust | 2. | Tinted Lens | Wonder Skin | (hidden ability),0049 | (Red/Blue/Yellow) | 0109 | (Gold/Silver/Crystal) | 0049 | (FireRed/LeafGreen) | 0110 | (HeartGold/SoulSilver) | 0049 | (Let's Go Pikachu/Let's Go Eevee) | 0257 | (Scarlet/Violet) | 0009 | (The Indigo Disk),"1 Sp. Atk, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Bug,"50% male, 50% female","20				(4,884–5,140 steps)",70,65,60,90,75,90,450,https://img.pokemondb.net/artwork/large/venomoth.jpg
Diglett,0050,Ground,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs),1. | Sand Veil | 2. | Arena Trap | Sand Force | (hidden ability),0050 | (Red/Blue/Yellow) | 0132 | (Gold/Silver/Crystal) | 0050 | (FireRed/LeafGreen) | 0134 | (HeartGold/SoulSilver) | 0001 | (X/Y — Mountain Kalos) | 0071 | (Sun/Moon — Alola dex) | 0085 | (U.Sun/U.Moon — Alola dex) | 0050 | (Let's Go Pikachu/Let's Go Eevee) | 0164 | (Sword/Shield) | 0148 | (Scarlet/Violet) | 0066 | (The Indigo Disk),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",10,55,25,35,45,95,265,https://img.pokemondb.net/artwork/large/diglett.jpg
Dugtrio,0051,Ground,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),1. | Sand Veil | 2. | Arena Trap | Sand Force | (hidden ability),0051 | (Red/Blue/Yellow) | 0133 | (Gold/Silver/Crystal) | 0051 | (FireRed/LeafGreen) | 0135 | (HeartGold/SoulSilver) | 0002 | (X/Y — Mountain Kalos) | 0072 | (Sun/Moon — Alola dex) | 0086 | (U.Sun/U.Moon — Alola dex) | 0051 | (Let's Go Pikachu/Let's Go Eevee) | 0165 | (Sword/Shield) | 0149 | (Scarlet/Violet) | 0067 | (The Indigo Disk),2 Speed,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",35,100,50,50,70,120,425,https://img.pokemondb.net/artwork/large/dugtrio.jpg
Meowth,0052,Normal,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),1. | Pickup | 2. | Technician | Unnerve | (hidden ability),0052 | (Red/Blue/Yellow) | 0136 | (Gold/Silver/Crystal) | 0052 | (FireRed/LeafGreen) | 0138 | (HeartGold/SoulSilver) | 0045 | (Sun/Moon — Alola dex) | 0052 | (U.Sun/U.Moon — Alola dex) | 0052 | (Let's Go Pikachu/Let's Go Eevee) | 0182 | (Sword/Shield) | 0141 | (Scarlet/Violet),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",40,45,35,40,40,90,290,https://img.pokemondb.net/artwork/large/meowth.jpg
Persian,0053,Normal,Classy Cat Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),1. | Limber | 2. | Technician | Unnerve | (hidden ability),0053 | (Red/Blue/Yellow) | 0137 | (Gold/Silver/Crystal) | 0053 | (FireRed/LeafGreen) | 0139 | (HeartGold/SoulSilver) | 0046 | (Sun/Moon — Alola dex) | 0053 | (U.Sun/U.Moon — Alola dex) | 0053 | (Let's Go Pikachu/Let's Go Eevee) | 0184 | (Sword/Shield) | 0142 | (Scarlet/Violet),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),154,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",65,70,60,65,65,115,440,https://img.pokemondb.net/artwork/large/persian.jpg
Psyduck,0054,Water,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs),1. | Damp | 2. | Cloud Nine | Swift Swim | (hidden ability),0054 | (Yellow/Red/Blue) | 0138 | (Gold/Silver/Crystal) | 0158 | (Ruby/Sapphire/Emerald) | 0054 | (FireRed/LeafGreen) | 0043 | (Diamond/Pearl) | 0043 | (Platinum) | 0140 | (HeartGold/SoulSilver) | 0028 | (Black 2/White 2) | 0059 | (X/Y — Central Kalos) | 0165 | (Omega Ruby/Alpha Sapphire) | 0089 | (Sun/Moon — Alola dex) | 0107 | (U.Sun/U.Moon — Alola dex) | 0054 | (Let's Go Pikachu/Let's Go Eevee) | 0043 | (Brilliant Diamond/Shining Pearl) | 0068 | (Legends: Arceus) | 0055 | (Scarlet/Violet) | 0146 | (The Isle of Armor),1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),64,Medium Fast,"Field, Water 1","50% male, 50% female","20				(4,884–5,140 steps)",50,52,48,65,50,55,320,https://img.pokemondb.net/artwork/large/psyduck.jpg
Golduck,0055,Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),1. | Damp | 2. | Cloud Nine | Swift Swim | (hidden ability),0055 | (Yellow/Red/Blue) | 0139 | (Gold/Silver/Crystal) | 0159 | (Ruby/Sapphire/Emerald) | 0055 | (FireRed/LeafGreen) | 0044 | (Diamond/Pearl) | 0044 | (Platinum) | 0141 | (HeartGold/SoulSilver) | 0029 | (Black 2/White 2) | 0060 | (X/Y — Central Kalos) | 0166 | (Omega Ruby/Alpha Sapphire) | 0090 | (Sun/Moon — Alola dex) | 0108 | (U.Sun/U.Moon — Alola dex) | 0055 | (Let's Go Pikachu/Let's Go Eevee) | 0044 | (Brilliant Diamond/Shining Pearl) | 0069 | (Legends: Arceus) | 0056 | (Scarlet/Violet) | 0147 | (The Isle of Armor),2 Sp. Atk,"75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"Field, Water 1","50% male, 50% female","20				(4,884–5,140 steps)",80,82,78,95,80,85,500,https://img.pokemondb.net/artwork/large/golduck.jpg
Mankey,0056,Fighting,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),1. | Vital Spirit | 2. | Anger Point | Defiant | (hidden ability),0056 | (Red/Blue/Yellow) | 0134 | (Gold/Silver/Crystal) | 0056 | (FireRed/LeafGreen) | 0136 | (HeartGold/SoulSilver) | 0079 | (Sun/Moon — Alola dex) | 0093 | (U.Sun/U.Moon — Alola dex) | 0056 | (Let's Go Pikachu/Let's Go Eevee) | 0158 | (Scarlet/Violet) | 0099 | (The Teal Mask),1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",40,80,35,35,45,70,305,https://img.pokemondb.net/artwork/large/mankey.jpg
Primeape,0057,Fighting,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),1. | Vital Spirit | 2. | Anger Point | Defiant | (hidden ability),0057 | (Red/Blue/Yellow) | 0135 | (Gold/Silver/Crystal) | 0057 | (FireRed/LeafGreen) | 0137 | (HeartGold/SoulSilver) | 0080 | (Sun/Moon — Alola dex) | 0094 | (U.Sun/U.Moon — Alola dex) | 0057 | (Let's Go Pikachu/Let's Go Eevee) | 0159 | (Scarlet/Violet) | 0100 | (The Teal Mask),2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",65,105,60,60,70,95,455,https://img.pokemondb.net/artwork/large/primeape.jpg
Growlithe,0058,Fire,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs),1. | Intimidate | 2. | Flash Fire | Justified | (hidden ability),0058 | (Red/Blue/Yellow) | 0127 | (Gold/Silver/Crystal) | 0058 | (FireRed/LeafGreen) | 0129 | (HeartGold/SoulSilver) | 0051 | (Black 2/White 2) | 0052 | (Sun/Moon — Alola dex) | 0064 | (U.Sun/U.Moon — Alola dex) | 0058 | (Let's Go Pikachu/Let's Go Eevee) | 0070 | (Sword/Shield) | 0150 | (Legends: Arceus) | 0213 | (Scarlet/Violet) | 0078 | (The Teal Mask),1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),70,Slow,Field,"75% male, 25% female","20				(4,884–5,140 steps)",55,70,45,70,50,60,350,https://img.pokemondb.net/artwork/large/growlithe.jpg
Arcanine,0059,Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),1. | Intimidate | 2. | Flash Fire | Justified | (hidden ability),0059 | (Red/Blue/Yellow) | 0128 | (Gold/Silver/Crystal) | 0059 | (FireRed/LeafGreen) | 0130 | (HeartGold/SoulSilver) | 0052 | (Black 2/White 2) | 0053 | (Sun/Moon — Alola dex) | 0065 | (U.Sun/U.Moon — Alola dex) | 0059 | (Let's Go Pikachu/Let's Go Eevee) | 0071 | (Sword/Shield) | 0151 | (Legends: Arceus) | 0214 | (Scarlet/Violet) | 0079 | (The Teal Mask),2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20				(4,884–5,140 steps)",90,110,80,100,80,95,555,https://img.pokemondb.net/artwork/large/arcanine.jpg
Poliwag,0060,Water,Tadpole Pokémon,0.6 m (2′00″),12.4 kg (27.3 lbs),1. | Water Absorb | 2. | Damp | Swift Swim | (hidden ability),0060 | (Red/Blue/Yellow) | 0072 | (Gold/Silver/Crystal) | 0060 | (FireRed/LeafGreen) | 0072 | (HeartGold/SoulSilver) | 0033 | (X/Y — Mountain Kalos) | 0149 | (Sun/Moon — Alola dex) | 0182 | (U.Sun/U.Moon — Alola dex) | 0060 | (Let's Go Pikachu/Let's Go Eevee) | 0142 | (The Isle of Armor) | 0039 | (The Teal Mask),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,Water 1,"50% male, 50% female","20				(4,884–5,140 steps)",40,50,40,40,40,90,300,https://img.pokemondb.net/artwork/large/poliwag.jpg
Poliwhirl,0061,Water,Tadpole Pokémon,1.0 m (3′03″),20.0 kg (44.1 lbs),1. | Water Absorb | 2. | Damp | Swift Swim | (hidden ability),0061 | (Red/Blue/Yellow) | 0073 | (Gold/Silver/Crystal) | 0061 | (FireRed/LeafGreen) | 0073 | (HeartGold/SoulSilver) | 0034 | (X/Y — Mountain Kalos) | 0150 | (Sun/Moon — Alola dex) | 0183 | (U.Sun/U.Moon — Alola dex) | 0061 | (Let's Go Pikachu/Let's Go Eevee) | 0143 | (The Isle of Armor) | 0040 | (The Teal Mask),2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),135,Medium Slow,Water 1,"50% male, 50% female","20				(4,884–5,140 steps)",65,65,65,50,50,90,385,https://img.pokemondb.net/artwork/large/poliwhirl.jpg
Poliwrath,0062,Water | Fighting,Tadpole Pokémon,1.3 m (4′03″),54.0 kg (119.0 lbs),1. | Water Absorb | 2. | Damp | Swift Swim | (hidden ability),0062 | (Red/Blue/Yellow) | 0074 | (Gold/Silver/Crystal) | 0062 | (FireRed/LeafGreen) | 0074 | (HeartGold/SoulSilver) | 0035 | (X/Y — Mountain Kalos) | 0151 | (Sun/Moon — Alola dex) | 0184 | (U.Sun/U.Moon — Alola dex) | 0062 | (Let's Go Pikachu/Let's Go Eevee) | 0144 | (The Isle of Armor) | 0041 | (The Teal Mask),3 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),230,Medium Slow,Water 1,"50% male, 50% female","20				(4,884–5,140 steps)",90,95,95,70,90,70,510,https://img.pokemondb.net/artwork/large/poliwrath.jpg
Abra,0063,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. | Synchronize | 2. | Inner Focus | Magic Guard | (hidden ability),0063 | (Yellow/Red/Blue) | 0089 | (Gold/Silver/Crystal) | 0039 | (Ruby/Sapphire/Emerald) | 0063 | (FireRed/LeafGreen) | 0020 | (Diamond/Pearl) | 0020 | (Platinum) | 0089 | (HeartGold/SoulSilver) | 0102 | (X/Y — Central Kalos) | 0040 | (Omega Ruby/Alpha Sapphire) | 0042 | (Sun/Moon — Alola dex) | 0049 | (U.Sun/U.Moon — Alola dex) | 0063 | (Let's Go Pikachu/Let's Go Eevee) | 0020 | (Brilliant Diamond/Shining Pearl) | 0058 | (Legends: Arceus) | 0062 | (Legends: Z-A) | 0031 | (The Isle of Armor),1 Sp. Atk,"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,Human-Like,"75% male, 25% female","20				(4,884–5,140 steps)",25,20,15,105,55,90,310,https://img.pokemondb.net/artwork/large/abra.jpg
Kadabra,0064,Psychic,Psi Pokémon,1.3 m (4′03″),56.5 kg (124.6 lbs),1. | Synchronize | 2. | Inner Focus | Magic Guard | (hidden ability),0064 | (Yellow/Red/Blue) | 0090 | (Gold/Silver/Crystal) | 0040 | (Ruby/Sapphire/Emerald) | 0064 | (FireRed/LeafGreen) | 0021 | (Diamond/Pearl) | 0021 | (Platinum) | 0090 | (HeartGold/SoulSilver) | 0103 | (X/Y — Central Kalos) | 0041 | (Omega Ruby/Alpha Sapphire) | 0043 | (Sun/Moon — Alola dex) | 0050 | (U.Sun/U.Moon — Alola dex) | 0064 | (Let's Go Pikachu/Let's Go Eevee) | 0021 | (Brilliant Diamond/Shining Pearl) | 0059 | (Legends: Arceus) | 0063 | (Legends: Z-A) | 0032 | (The Isle of Armor),2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),140,Medium Slow,Human-Like,"75% male, 25% female","20				(4,884–5,140 steps)",40,35,30,120,70,105,400,https://img.pokemondb.net/artwork/large/kadabra.jpg
Alakazam,0065,Psychic,Psi Pokémon,1.5 m (4′11″),48.0 kg (105.8 lbs),1. | Synchronize | 2. | Inner Focus | Magic Guard | (hidden ability),0065 | (Yellow/Red/Blue) | 0091 | (Gold/Silver/Crystal) | 0041 | (Ruby/Sapphire/Emerald) | 0065 | (FireRed/LeafGreen) | 0022 | (Diamond/Pearl) | 0022 | (Platinum) | 0091 | (HeartGold/SoulSilver) | 0104 | (X/Y — Central Kalos) | 0042 | (Omega Ruby/Alpha Sapphire) | 0044 | (Sun/Moon — Alola dex) | 0051 | (U.Sun/U.Moon — Alola dex) | 0065 | (Let's Go Pikachu/Let's Go Eevee) | 0022 | (Brilliant Diamond/Shining Pearl) | 0060 | (Legends: Arceus) | 0064 | (Legends: Z-A) | 0033 | (The Isle of Armor),3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),225,Medium Slow,Human-Like,"75% male, 25% female","20				(4,884–5,140 steps)",55,50,45,135,95,120,500,https://img.pokemondb.net/artwork/large/alakazam.jpg
Machop,0066,Fighting,Superpower Pokémon,0.8 m (2′07″),19.5 kg (43.0 lbs),1. | Guts | 2. | No Guard | Steadfast | (hidden ability),0066 | (Yellow/Red/Blue) | 0140 | (Gold/Silver/Crystal) | 0073 | (Ruby/Sapphire/Emerald) | 0066 | (FireRed/LeafGreen) | 0040 | (Diamond/Pearl) | 0040 | (Platinum) | 0142 | (HeartGold/SoulSilver) | 0057 | (X/Y — Coastal Kalos) | 0075 | (Omega Ruby/Alpha Sapphire) | 0095 | (Sun/Moon — Alola dex) | 0117 | (U.Sun/U.Moon — Alola dex) | 0066 | (Let's Go Pikachu/Let's Go Eevee) | 0138 | (Sword/Shield) | 0040 | (Brilliant Diamond/Shining Pearl) | 0154 | (Legends: Arceus) | 0125 | (Legends: Z-A),1 Attack,"180 (23.5% with PokéBall, full HP)",50 (normal),61,Medium Slow,Human-Like,"75% male, 25% female","20				(4,884–5,140 steps)",70,80,50,35,35,35,305,https://img.pokemondb.net/artwork/large/machop.jpg
Machoke,0067,Fighting,Superpower Pokémon,1.5 m (4′11″),70.5 kg (155.4 lbs),1. | Guts | 2. | No Guard | Steadfast | (hidden ability),0067 | (Yellow/Red/Blue) | 0141 | (Gold/Silver/Crystal) | 0074 | (Ruby/Sapphire/Emerald) | 0067 | (FireRed/LeafGreen) | 0041 | (Diamond/Pearl) | 0041 | (Platinum) | 0143 | (HeartGold/SoulSilver) | 0058 | (X/Y — Coastal Kalos) | 0076 | (Omega Ruby/Alpha Sapphire) | 0096 | (Sun/Moon — Alola dex) | 0118 | (U.Sun/U.Moon — Alola dex) | 0067 | (Let's Go Pikachu/Let's Go Eevee) | 0139 | (Sword/Shield) | 0041 | (Brilliant Diamond/Shining Pearl) | 0155 | (Legends: Arceus) | 0126 | (Legends: Z-A),2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),142,Medium Slow,Human-Like,"75% male, 25% female","20				(4,884–5,140 steps)",80,100,70,50,60,45,405,https://img.pokemondb.net/artwork/large/machoke.jpg
